id|title|year|rating|director|plot
1|The Shawshank Redemption|1994|R|Frank Darabont|Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
2|The Godfather|1972|R|Francis Ford Coppola|The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant youngest son.
3|The Godfather Part II|1974|R|Francis Ford Coppola|The continuation of the Corleone saga as Michael Corleone becomes the patriarch of the organized crime dynasty.
4|The Dark Knight|2008|PG-13|Christopher Nolan|When the menace known as the Joker wreaks havoc on Gotham, Batman must accept one of the greatest tests to fight injustice.
5|Pulp Fiction|1994|R|Quentin Tarantino|The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
6|Forrest Gump|1994|PG-13|Robert Zemeckis|The presidencies of Kennedy and Johnson unfold through the perspective of an Alabama man with an IQ of 75.
7|Inception|2010|PG-13|Christopher Nolan|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.
8|Fight Club|1999|R|David Fincher|An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.
9|The Matrix|1999|R|Lana Wachowski, Lilly Wachowski|A computer programmer discovers that reality as he knows it is a simulation created by machines.
10|Goodfellas|1990|R|Martin Scorsese|The story of Henry Hill and his life in the mob, covering his relationship with his wife and his partners in the criminal enterprise.
11|The Silence of the Lambs|1991|R|Jonathan Demme|A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.
12|Se7en|1995|R|David Fincher|Two detectives hunt a serial killer who uses the seven deadly sins as his motives for his killings.
13|Saving Private Ryan|1998|R|Steven Spielberg|Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper.
14|Interstellar|2014|PG-13|Christopher Nolan|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
15|The Green Mile|1999|R|Frank Darabont|The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape.
16|Parasite|2019|R|Bong Joon-ho|Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
17|The Usual Suspects|1995|R|Bryan Singer|A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat.
18|The Lion King|1994|G|Roger Allers, Rob Minkoff|Lion prince Simba flees his kingdom after the death of his father, only to discover the truth about his past.
19|Back to the Future|1985|PG|Robert Zemeckis|A teenager is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend.
20|Whiplash|2014|R|Damien Chazelle|A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor.
21|Gladiator|2000|R|Ridley Scott|A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.
22|The Prestige|2006|PG-13|Christopher Nolan|After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion.
23|The Sixth Sense|1999|PG-13|M. Night Shyamalan|A frightened, withdrawn Philadelphia boy who communicates with ghosts seeks the help of an intervention specialist.
24|American Beauty|1999|R|Sam Mendes|A sexually frustrated suburban father has a mid-life crisis when he becomes infatuated with his daughter's best friend.
25|The Departed|2006|R|Martin Scorsese|An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang.
26|12 Angry Men|1957|Not Rated|Sidney Lumet|A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
27|Schindler's List|1993|R|Steven Spielberg|In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.
28|The Dark Knight Rises|2012|PG-13|Christopher Nolan|Eight years after the Joker's reign of anarchy, Batman is forced out of exile with the emergence of a new terrorist leader.
29|The Lord of the Rings: The Return of the King|2003|PG-13|Peter Jackson|Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam.
30|The Lord of the Rings: The Fellowship of the Ring|2001|PG-13|Peter Jackson|A meek Hobbit inherits a mysterious ring and must travel across Middle-earth to destroy it.
31|Star Wars: Episode V|1980|PG|Irvin Kershner|After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training.
32|One Flew Over the Cuckoo's Nest|1975|R|Milos Forman|A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse.
33|Memento|2000|R|Christopher Nolan|A man with short-term memory loss attempts to track down his wife's murderer using notes and tattoos.
34|Seven Samurai|1954|Not Rated|Akira Kurosawa|Seven samurai are hired by villagers to protect their village from bandits.
35|Singin' in the Rain|1952|Not Rated|Gene Kelly, Stanley Donen|A silent film star must convince his estranged partner to help him rework an upcoming musical.
36|It's a Wonderful Life|1946|Not Rated|Frank Capra|An angel shows a financially troubled businessman what his town would have been like if he had never been born.
37|Sunset Boulevard|1950|Not Rated|Billy Wilder|A desperate screenwriter and a faded film star engage in a dark obsession.
38|Psycho|1960|R|Alfred Hitchcock|A woman is murdered in a motel bathroom, and a private detective is hired to solve the case.
39|Casablanca|1942|Not Rated|Michael Curtiz|A cynical American cafe owner in Casablanca reluctantly helps his old flame and her husband escape the Nazis.
40|Vertigo|1958|PG|Alfred Hitchcock|A retired San Francisco detective obsesses over the disappearance of a woman who resembles his client's wife.
41|Raiders of the Lost Ark|1981|PG|Steven Spielberg|In 1936, archaeologist and adventurer Indiana Jones is hired to retrieve the lost Ark of the Covenant.
42|Jaws|1975|PG|Steven Spielberg|When a giant great white shark begins hunting swimmers on the New England coast, the police chief takes action.
43|E.T. the Extra-Terrestrial|1982|PG|Steven Spielberg|A phone home is the only hope for an alien stranded on Earth to return to his mother ship.
44|The Shining|1980|R|Stanley Kubrick|A family isolated in an island hotel during the winter is influenced by an evil presence to commit violent acts.
45|Alien|1979|R|Ridley Scott|The crew of a commercial spacecraft is awakened to engage with an extraterrestrial creature.
46|Blade Runner|1982|R|Ridley Scott|A blade runner must pursue and terminate four replicants who stole a ship in an attempt to escape.
47|Double Indemnity|1944|Not Rated|Billy Wilder|An insurance salesman and a femme fatale plot the murder of her husband.
48|The Big Sleep|1946|Not Rated|Howard Hawks|Private detective Philip Marlowe is hired to solve a blackmail case in 1940s Los Angeles.
